Date;18.11.2022;;#;N_mob;Amp;;#;P_mob;Amp
Time;12:34:19;;1;3,36107;-2;;1;2,62513;-18
Device name;KE2-0-086-2018;;2;3,35548;-2;;2;2,62185;-21
negMobCoeff;50,41609955;;3;3,34991;-4;;3;2,61859;-21
posMobCoeff;52,50264359;;4;3,34435;0;;4;2,61532;-25
;;;5;3,33881;0;;5;2,61207;-24
;;;6;3,3333;0;;6;2,60883;-19
;;;7;3,3278;1;;7;2,60559;-15
;;;8;3,32231;0;;8;2,60236;-15
;;;9;3,31685;1;;9;2,59914;-11
;;;10;3,3114;3;;10;2,59593;-11
;;;11;3,30597;5;;11;2,59272;-9
;;;12;3,30056;5;;12;2,58953;-9
;;;13;3,29517;5;;13;2,58634;-9
;;;14;3,28979;7;;14;2,58316;-4
;;;15;3,28444;5;;15;2,57998;-4
;;;16;3,2791;7;;16;2,57682;-2
;;;17;3,27377;8;;17;2,57366;-4
;;;18;3,26847;6;;18;2,57051;-1
;;;19;3,26318;4;;19;2,56737;-5
;;;20;3,25791;1;;20;2,56423;1
;;;21;3,25265;0;;21;2,5611;1
;;;22;3,24741;0;;22;2,55799;2
;;;23;3,24219;-2;;23;2,55487;5
;;;24;3,23699;-3;;24;2,55177;25
;;;25;3,2318;-3;;25;2,54867;41
;;;26;3,22663;-5;;26;2,54558;64
;;;27;3,22148;-4;;27;2,5425;93
;;;28;3,21634;-4;;28;2,53943;133
;;;29;3,21122;-5;;29;2,53636;190
;;;30;3,20611;-4;;30;2,5333;259
;;;31;3,20102;-2;;31;2,53025;350
;;;32;3,19595;-4;;32;2,5272;448
;;;33;3,19089;-3;;33;2,52417;573
;;;34;3,18585;0;;34;2,52114;714
;;;35;3,18083;-1;;35;2,51811;878
;;;36;3,17582;1;;36;2,5151;1065
;;;37;3,17082;4;;37;2,51209;1269
;;;38;3,16585;4;;38;2,50909;1494
;;;39;3,16088;4;;39;2,50609;1743
;;;40;3,15594;1;;40;2,50311;2009
;;;41;3,15101;2;;41;2,50013;2282
;;;42;3,14609;2;;42;2,49715;2563
;;;43;3,14119;4;;43;2,49419;2846
;;;44;3,1363;6;;44;2,49123;3123
;;;45;3,13143;9;;45;2,48828;3394
;;;46;3,12658;10;;46;2,48533;3656
;;;47;3,12174;12;;47;2,48239;3912
;;;48;3,11691;12;;48;2,47946;4150
;;;49;3,1121;10;;49;2,47654;4370
;;;50;3,10731;8;;50;2,47362;4572
;;;51;3,10253;5;;51;2,47071;4747
;;;52;3,09776;3;;52;2,46781;4893
;;;53;3,09301;0;;53;2,46491;5018
;;;54;3,08828;0;;54;2,46202;5120
;;;55;3,08355;0;;55;2,45914;5191
;;;56;3,07885;0;;56;2,45626;5240
;;;57;3,07415;-1;;57;2,45339;5261
;;;58;3,06947;0;;58;2,45053;5267
;;;59;3,06481;0;;59;2,44768;5238
;;;60;3,06016;0;;60;2,44483;5203
;;;61;3,05552;0;;61;2,44198;5142
;;;62;3,0509;0;;62;2,43915;5070
;;;63;3,04629;-1;;63;2,43632;4985
;;;64;3,0417;-2;;64;2,43349;4887
;;;65;3,03711;-1;;65;2,43068;4773
;;;66;3,03255;-3;;66;2,42787;4646
;;;67;3,02799;-6;;67;2,42506;4518
;;;68;3,02345;-4;;68;2,42227;4383
;;;69;3,01893;-4;;69;2,41948;4249
;;;70;3,01442;-3;;70;2,41669;4103
;;;71;3,00992;-5;;71;2,41391;3957
;;;72;3,00543;-3;;72;2,41114;3805
;;;73;3,00096;0;;73;2,40838;3654
;;;74;2,9965;0;;74;2,40562;3502
;;;75;2,99205;1;;75;2,40287;3353
;;;76;2,98762;1;;76;2,40012;3202
;;;77;2,9832;2;;77;2,39738;3047
;;;78;2,97879;0;;78;2,39465;2901
;;;79;2,9744;0;;79;2,39192;2761
;;;80;2,97002;-2;;80;2,3892;2625
;;;81;2,96565;-2;;81;2,38648;2496
;;;82;2,9613;-3;;82;2,38377;2369
;;;83;2,95696;-3;;83;2,38107;2251
;;;84;2,95263;-2;;84;2,37838;2126
;;;85;2,94831;0;;85;2,37569;2012
;;;86;2,94401;0;;86;2,373;1905
;;;87;2,93971;0;;87;2,37032;1800
;;;88;2,93544;0;;88;2,36765;1697
;;;89;2,93117;3;;89;2,36498;1606
;;;90;2,92691;4;;90;2,36232;1518
;;;91;2,92267;4;;91;2,35967;1434
;;;92;2,91844;2;;92;2,35702;1360
;;;93;2,91423;7;;93;2,35438;1288
;;;94;2,91002;6;;94;2,35174;1223
;;;95;2,90583;7;;95;2,34911;1159
;;;96;2,90165;8;;96;2,34649;1091
;;;97;2,89748;4;;97;2,34387;1037
;;;98;2,89332;2;;98;2,34126;986
;;;99;2,88917;-1;;99;2,33865;933
;;;100;2,88504;-2;;100;2,33605;890
;;;101;2,88092;-4;;101;2,33345;845
;;;102;2,87681;-4;;102;2,33086;806
;;;103;2,87271;-4;;103;2,32828;771
;;;104;2,86863;-4;;104;2,3257;737
;;;105;2,86455;-1;;105;2,32313;704
;;;106;2,86049;0;;106;2,32056;681
;;;107;2,85644;0;;107;2,318;651
;;;108;2,8524;3;;108;2,31544;627
;;;109;2,84837;5;;109;2,31289;610
;;;110;2,84435;6;;110;2,31035;592
;;;111;2,84034;7;;111;2,30781;584
;;;112;2,83635;9;;112;2,30528;579
;;;113;2,83237;7;;113;2,30275;574
;;;114;2,82839;5;;114;2,30023;565
;;;115;2,82443;8;;115;2,29771;560
;;;116;2,82048;7;;116;2,2952;552
;;;117;2,81654;7;;117;2,29269;545
;;;118;2,81261;6;;118;2,29019;543
;;;119;2,8087;8;;119;2,2877;545
;;;120;2,80479;12;;120;2,28521;546
;;;121;2,80089;14;;121;2,28272;543
