Date;2022-11-18;;#;N_mob;Amp;;#;P_mob;Amp
Time;12:34:19;;1;3,36192;1;;1;2,62375;-23
Device name;KE2-0-086-2018;;2;3,35633;4;;2;2,62047;-27
negMobCoeff;50,4287948608;;3;3,35075;0;;3;2,61720;-27
posMobCoeff;52,4749298096;;4;3,34519;2;;4;2,61394;-34
;;;5;3,33966;0;;5;2,61069;-36
;;;6;3,33414;0;;6;2,60745;-31
;;;7;3,32863;0;;7;2,60421;-34
;;;8;3,32315;2;;8;2,60099;-30
;;;9;3,31768;0;;9;2,59777;-31
;;;10;3,31224;3;;10;2,59456;-29
;;;11;3,30681;0;;11;2,59135;-30
;;;12;3,30139;0;;12;2,58816;-33
;;;13;3,29600;0;;13;2,58497;-30
;;;14;3,29062;0;;14;2,58179;-34
;;;15;3,28526;0;;15;2,57862;-31
;;;16;3,27992;2;;16;2,57546;-30
;;;17;3,27460;0;;17;2,57230;-30
;;;18;3,26929;2;;18;2,56915;-30
;;;19;3,26400;2;;19;2,56601;-25
;;;20;3,25873;2;;20;2,56288;-26
;;;21;3,25347;5;;21;2,55975;-23
;;;22;3,24823;3;;22;2,55663;-25
;;;23;3,24301;3;;23;2,55352;-22
;;;24;3,23780;6;;24;2,55042;-18
;;;25;3,23262;6;;25;2,54733;-18
;;;26;3,22744;6;;26;2,54424;-15
;;;27;3,22229;3;;27;2,54116;-12
;;;28;3,21715;1;;28;2,53809;-9
;;;29;3,21203;0;;29;2,53502;-5
;;;30;3,20692;0;;30;2,53196;1
;;;31;3,20183;0;;31;2,52891;22
;;;32;3,19675;-2;;32;2,52587;44
;;;33;3,19170;-2;;33;2,52283;72
;;;34;3,18665;0;;34;2,51980;104
;;;35;3,18163;0;;35;2,51678;143
;;;36;3,17662;0;;36;2,51377;191
;;;37;3,17162;0;;37;2,51076;253
;;;38;3,16664;0;;38;2,50776;324
;;;39;3,16168;0;;39;2,50477;408
;;;40;3,15673;0;;40;2,50178;502
;;;41;3,15180;0;;41;2,49881;600
;;;42;3,14688;0;;42;2,49583;717
;;;43;3,14198;-1;;43;2,49287;834
;;;44;3,13709;0;;44;2,48991;956
;;;45;3,13222;0;;45;2,48696;1083
;;;46;3,12737;0;;46;2,48402;1202
;;;47;3,12253;1;;47;2,48108;1328
;;;48;3,11770;2;;48;2,47815;1446
;;;49;3,11289;5;;49;2,47523;1557
;;;50;3,10809;6;;50;2,47232;1663
;;;51;3,10331;8;;51;2,46941;1756
;;;52;3,09854;7;;52;2,46651;1842
;;;53;3,09379;7;;53;2,46361;1914
;;;54;3,08905;6;;54;2,46072;1973
;;;55;3,08433;4;;55;2,45784;2016
;;;56;3,07962;4;;56;2,45497;2044
;;;57;3,07493;6;;57;2,45210;2062
;;;58;3,07025;4;;58;2,44924;2062
;;;59;3,06558;6;;59;2,44638;2055
;;;60;3,06093;5;;60;2,44354;2040
;;;61;3,05629;3;;61;2,44069;2010
;;;62;3,05167;2;;62;2,43786;1983
;;;63;3,04706;3;;63;2,43503;1934
;;;64;3,04246;3;;64;2,43221;1884
;;;65;3,03788;5;;65;2,42939;1835
;;;66;3,03331;9;;66;2,42659;1780
;;;67;3,02876;6;;67;2,42378;1720
;;;68;3,02422;9;;68;2,42099;1660
;;;69;3,01969;9;;69;2,41820;1600
;;;70;3,01517;9;;70;2,41542;1536
;;;71;3,01067;6;;71;2,41264;1471
;;;72;3,00619;3;;72;2,40987;1411
;;;73;3,00171;0;;73;2,40711;1348
;;;74;2,99725;1;;74;2,40435;1293
;;;75;2,99281;1;;75;2,40160;1233
;;;76;2,98837;1;;76;2,39885;1175
