,3
1,84.0952682495117
2,245.807144165039
3,406.653015136718
4,567.119087219238
5,731.014236450195
6,907.766059875488
7,1046.71273422241
8,1208.69400405883
9,1368.90436172485
10,1528.2311592102
11,1688.01522445678
12,1847.73661422729
13,2052.53080368042
14,2170.99699020385
15,2331.18020248413
16,2491.00280380249
17,2650.78759384155
18,2812.7363243103
19,2972.57735824584
20,3134.82995986938
21,3293.69504928588
22,3452.48414230346
23,3614.52196121215
24,3772.93111801147
25,3934.32111740112
26,4093.47457504272
27,4254.69977951049
28,4416.49808883667
29,4575.53384017944
30,4737.13941574096
31,4896.12832260131
32,5057.41080856323
33,5216.34450912475
34,5377.78209304809
35,5552.54845046997
36,5697.71342849731
37,5859.38579177856
38,6017.74470138549
39,6179.52815628051
40,6341.24815750122
41,6499.55215835571
42,6661.32640075683
43,6819.83227539062
44,6981.74360656738
45,7141.17657470703
46,7302.60748291015
47,7462.02651214599
48,7623.78372192382
49,7782.32384490966
50,7942.93547821044
51,8104.06317138671
52,8265.78620147705
53,8424.40420532226
54,8587.27863311767
55,8744.55815124511
56,8907.08390808105
57,9066.12633514404
58,9227.38651275634
59,9386.71433258056
60,9547.77893829345
61,9707.2802734375
62,9888.94063568115
63,10029.0460853576
64,10197.9715919494
65,10349.456867218
66,10507.6234779357
67,10670.166683197
68,10830.2008018493
69,10989.8488044738
70,11150.0905647277
71,11310.9692344665
72,11475.844631195
73,11632.9510612487
74,11792.1876640319
75,11954.5297737121
76,12114.8721961975
77,12273.592136383
78,12435.0134010314
79,12602.8187904357
80,12753.9183006286
81,12915.5675163269
82,13074.6129722595
83,13236.2295112609
84,13396.5087242126
85,13556.9867744445
86,13716.5268440246
87,13877.5959968566
88,14037.1501274108
89,14198.0875816345
90,14358.3472251892
91,14520.3095283508
92,14678.8151664733
93,14839.8922691345
94,14999.1520271301
95,15160.4020881652
96,15320.039363861
97,15482.289363861
98,15642.5440864562
99,15801.0460853576
100,15961.1675987243
101,16122.8639640808
102,16282.761478424
103,16443.8178977966
104,16602.9425086975
105,16773.5786933898
106,16926.0339622497
107,17084.1374168396
108,17245.5743827819
109,17406.4517707824
110,17567.5981941223
111,17734.0118293762
112,17887.0899467468
113,18059.6884956359
114,18218.8629798889
115,18366.9068031311
116,18529.0044441223
117,18687.5220222473
118,18849.3728141784
119,19020.2691154479
120,19170.6808738708
121,19337.4374198913
122,19491.7426948547
123,19649.9420890808
124,19812.0391197204
125,19971.621181488
126,20132.7656135559
127,20293.4517936706
128,20453.1903419494
129,20614.7251853942
130,20773.5953102111
131,20935.7155494689
132,21094.9982719421
133,21257.2783927917
134,21416.2423896789
135,21574.9931755065
136,21736.3479652404
137,21905.3012351989
138,22057.1760215759
139,22218.6088142395
140,22378.6742591857
141,22537.9682502746
142,22700.1991004943
143,22859.4657096862
144,23018.4255332946
145,23182.213230133
146,23340.0128746032
147,23502.4395484924
148,23661.1352424621
149,23827.5687599182
150,23993.8826408386
151,24142.1323966979
152,24301.0516090393
153,24463.5996055603
154,24622.2191886901
155,24784.6182746887
156,24945.8795433044
157,25111.7311134338
158,25266.1145668029
159,25426.1782569885
160,25586.4227409362
161,25746.4463157653
162,25912.1358909606
163,26067.2108573913
164,26227.0246696472
165,26388.48254776
