,3
1,0.0
2,163.540908813476
3,321.232246398925
4,480.819946289062
5,640.055946350097
6,801.82819366455
7,959.930259704589
8,1120.05541229248
9,1281.42008209228
10,1440.87554168701
11,1601.40050506591
12,1768.4189376831
13,1927.1841506958
14,2083.31086730957
15,2245.04621124267
16,2404.12518310546
17,2565.86833953857
18,2726.04428100585
19,2885.15173339843
20,3056.89233398437
21,3206.07918548584
22,3368.64094543457
23,3526.84445953369
24,3688.7294921875
25,3857.3741607666
26,4008.00289154052
27,4170.24810028076
28,4328.91731262207
29,4490.30744171142
30,4648.73495483398
31,4810.4792022705
32,4969.61459350585
33,5131.45780944824
34,5290.89629364013
35,5451.921875
36,5611.00853729248
37,5772.96787261962
38,5934.10987854003
39,6093.47490692138
40,6255.05786895751
41,6414.12368011474
42,6575.40713500976
43,6734.65737915039
44,6896.59392547607
45,7055.95137786865
46,7221.89774322509
47,7375.88222503662
48,7537.04386138916
49,7696.97294616699
50,7856.46392059326
51,8017.85446166992
52,8179.95803070068
53,8339.6767578125
54,8501.59881591796
55,8662.00142669677
56,8820.90548706054
57,8980.07730865478
58,9153.07669830322
59,9300.6759109497
60,9476.28639221191
61,9628.46857452392
62,9781.63317871093
63,9943.54299926757
64,10113.3693618774
65,10275.1661453247
66,10423.7799682617
67,10585.9828796386
68,10745.6745147705
69,10905.3101501464
70,11065.5770568847
71,11236.8653488159
72,11385.7683258056
73,11546.270324707
74,11727.8502578735
75,11868.4936523437
76,12028.6803131103
77,12190.2069778442
78,12351.3311538696
79,12508.2418823242
80,12669.6738204956
81,12831.2149124145
82,12990.5507888793
83,13150.1033325195
84,13309.920425415
85,13470.6436386108
86,13630.8058166503
87,13790.9477615356
88,13975.821937561
89,14120.2659988403
90,14272.0079956054
91,14432.8076400756
92,14594.8154525756
93,14753.8472061157
94,14913.9393920898
95,15086.0303649902
96,15243.6976394653
97,15406.540611267
98,15556.3766098022
99,15716.3768539428
100,15876.7132186889
101,16037.1972732543
102,16198.0196990966
103,16357.4360656738
104,16517.7487258911
105,16678.3605422973
106,16840.816116333
107,17001.048538208
108,17160.0974502563
109,17396.4880523681
110,17483.4720516204
111,17643.9513149261
112,17804.0819835662
113,17964.2378597259
114,18125.1177959442
115,18284.9209499359
116,18448.2489528656
117,18605.5099239349
118,18765.083990097
119,18925.5024166107
120,19084.337026596
121,19246.0148983001
122,19404.8002376556
123,19569.9810237884
124,19726.8008937835
125,19885.3334407806
126,20057.4208354949
127,20208.7267742157
128,20368.1400432586
129,20531.1405239105
130,20688.5428295135
131,20861.648656845
132,21014.565870285
133,21170.5800533294
134,21330.8086528778
135,21492.3107738494
136,21656.6644115448
137,21812.2188396453
138,21983.8350811004
139,22133.4503536224
140,22294.2456264495
141,22453.4548397064
142,22613.9101772308
143,22772.9964199066
144,22945.7002391815
145,23105.6626033782
146,23255.1566677093
147,23414.5278759002
148,23576.4063014984
149,23736.4913921356
150,23896.3115749359
